"","Access","GDP","Merchandise","Prevalence","School","Secure","Statistical","Vulnerable","Women"
"American Samoa",73.0121137587197,11331.4173918612,168.025078369906,21.5770068974539,43.6642174033204,343.505929997107,30,81.7169506227406,52.657173768012
"Australia",100,58923.2082117629,35.269986674724,2.5,140.646041870117,36718.7717135846,100,10.6100000739097,96.875
"Brunei Darussalam",100,30646.10923104,90.1449160281939,2.5,92.0957183837891,10720.1543517595,100,6.27000004053116,53.125
"Cambodia",90.9067723240737,1439.16245481502,129.585790879967,6.2,84.4574826014726,159.281430878592,70,46.9500002861023,75
"China",100,10228.292811471,32.0578644720325,2.5,97.8190854081042,734.975298970105,83.4,42.539999961853,75.625
"Fiji",100,5869.01410878808,68.5376306414802,5.6,95.1863185111232,210.122983746369,80,41.6000003814697,79.375
"French Polynesia",100,21411.4882000533,55.3412364602991,3.8,103.522809945154,1081.33268883041,60,11.6799998581409,80.2759310108222
"Guam",100,35407.6817386623,17.1446680399303,1.90492829312949,109.613388735178,998.236647837652,60,9.16000038385392,83.1534053169672
"Hong Kong SAR, China",100,44189.6925318932,306.52088491366,2.5,107.740280151367,60546.1278205504,80,5.74000000953675,89.375
"Indonesia",97.5271691517377,3877.38297656325,30.2887720059833,6.5,89.8027579389805,1683.84681850847,100,48.2499990463257,64.375
"Japan",100,36362.3573229906,27.7059897714573,2.5,112.692651765454,18701.3526344857,90,8.21000027656555,81.875
"Kiribati",100,1614.52822422683,73.98,4.1,84.9062369073211,8.50282293721516,20,47.8673315393505,78.75
"Korea, Dem. People's Rep.",61.4706507080385,58710.2014080054,436.099827882587,42.4,11.8579625459046,141838.30813632,20,85.7599983215332,41.1895024353734
"Korea, Rep.",100,31610.9190042071,63.4937206579186,2.5,95.865348815918,4543.84255552089,100,18.9099998474121,85
"Lao PDR",100,2572.82824605956,66.1956013780279,5.3,65.7687301635742,31.2436536328558,90,74.2800006866455,88.125
"Macao SAR, China",100,79677.6635793178,23.1226520832678,4.3,101.036689758301,4167.40833731493,80,3.2999999076128,86.5215862133475
"Malaysia",100,11391.6917171556,121.528830222316,3.2,83.748161315918,6723.92546942955,80,23.7900004386902,50
"Marshall Islands",100,3595.208450273,51.365100629661,13.1540445809449,63.9449691772461,340.18812403259,20,65.4578598031294,58.75
"Micronesia, Fed. Sts.",78.0706593796122,2921.88181423192,59.7950402464732,16.3046661395753,56.2352109537766,210.875925877112,20,74.5303315271447,63.75
"Mongolia",97.2192746153202,4378.52787164517,98.2158724230567,4.3,91.5033569335938,1690.4556230594,100,47.1200003623963,82.5
"Myanmar",57.5079059204504,1362.72543858048,46.0007823023746,7.6,67.8844693515808,12.2674590273345,100,62.4200019836426,58.75
"Nauru",100,8349.91877254671,46.5220810647308,7.8482598370519,96.7041778564453,-9203.9578605631,20,49.3078991458908,70.7437357314226
"New Caledonia",100,24411.8484008552,71.0807591489322,6.9,101.868379112791,4898.63619609289,70,13.710000231862,79.6849644014693
"New Zealand",100,40315.47098301,38.4609877391364,2.5,123.144180297852,20120.4988653024,100,12.2899999022484,94.375
"Northern Mariana Islands",100,18141.8823545613,50.507614213198,6.09225664545044,93.38856905343,1363.32651670075,60,37.4901117136727,75.4370430268919
"Palau",100,15213.715904672,65.5847908869933,12.2104598342587,72.0616199781776,722.182100994389,30,57.9987888130391,58.75
"Papua New Guinea",60.4465378249927,2853.90544449919,61.754133941119,24.6,48.3225327358874,56.7449005648169,60,74,60
"Philippines",93.545325943225,3664.79066969794,49.97063894756,9.4,89.765266418457,111.314983555443,100,33.2099995613098,78.75
"Samoa",99.0237225170115,4430.00569734725,51.6280318448757,4.6,100.610858271377,471.858462756161,90,29.180000782013,80
"Singapore",100,61173.9047689256,200.335585460876,10.9826379940975,104.714958190918,122481.379641414,100,9.19999995827675,82.5
"Solomon Islands",68.2214604078003,2289.58684324274,66.933484494312,16.5,58.3698438531223,56.7315745549931,60,62.019998550415,56.875
"Thailand",99.9,6617.54282167643,88.6571640960606,8.2,115.152656555176,1403.80875241817,100,47.7399997711181,78.125
"Timor-Leste",92.3481617799307,1435.72807129864,36.9191142841837,22.6,86.535270690918,37.892848304875,50,67.9999980926514,83.125
"Tonga",97.9191975009023,4652.5885871245,50.3561959749249,7.22227330973617,94.0930862426758,229.671665215269,90,46.8499984741211,58.75
"Tuvalu",100,3674.35408540441,69.8095588235294,13.2779588927284,66.0434265136719,85.8000858000858,10,64.741777103672,62.7790269396023
"Vanuatu",54.4264425396466,2882.40219538468,42.0277379614015,9.3,58.3675566901277,350.137720836863,60,67.8500006198883,58.125
"Vietnam",99.0532096222661,2604.22416586283,197.639943376855,6.7,89.7519801175895,2596.98865382457,100,52.2899990081787,78.75
